label,session_id,capture_mode,timestamp_utc,timestamp_ms,camera_id,bbox_area,sharpness,bright_ratio,distance_bucket,mirror,frame_delta,bbox_delta,dedup_strategy,path
Г,G_manual_single,auto,2026-02-13T18:12:47.654708+00:00,1771006367654,0,0.330461,25.613,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006367654_001.jpg
Г,G_manual_single,auto,2026-02-13T18:12:56.466337+00:00,1771006376466,0,0.306441,25.9103,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006376466_001.jpg
Г,G_manual_single,auto,2026-02-13T18:13:17.025187+00:00,1771006397025,0,0.335816,18.953,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006397025_001.jpg
Г,G_manual_single,auto,2026-02-13T18:13:28.270705+00:00,1771006408270,0,0.338346,16.5879,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006408270_001.jpg
Г,G_manual_single,auto,2026-02-13T18:13:38.574865+00:00,1771006418574,0,0.317186,23.2615,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006418574_001.jpg
Г,G_manual_single,auto,2026-02-13T18:13:47.021080+00:00,1771006427021,0,0.32259,23.7888,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006427021_001.jpg
Г,G_manual_single,auto,2026-02-13T18:14:05.252645+00:00,1771006445252,0,0.36316,17.61,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006445252_001.jpg
Г,G_manual_single,auto,2026-02-13T18:14:19.681035+00:00,1771006459681,0,0.377344,15.2009,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006459681_001.jpg
Г,G_manual_single,auto,2026-02-13T18:14:43.361764+00:00,1771006483361,0,0.313477,8.6012,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006483361_001.jpg
Г,G_manual_single,auto,2026-02-13T18:14:52.453738+00:00,1771006492453,0,0.319853,7.8645,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006492453_001.jpg
Г,G_manual_single,auto,2026-02-13T18:15:12.631221+00:00,1771006512631,0,0.349267,4.8762,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006512631_001.jpg
Г,G_manual_single,auto,2026-02-13T18:15:22.690720+00:00,1771006522690,0,0.351304,16.0939,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Г/G_manual_single/1771006522690_001.jpg
